, Valor do Produto ,Data de Venda,total mês,total dos 2 meses
173," R$ 1,997.00 ",1/6/2021,,
62," R$ 1,997.00 ",1/6/2021,,
61," R$ 1,997.00 ",1/6/2021,,
261," R$ 1,997.00 ",1/6/2021,,
60," R$ 1,997.00 ",1/6/2021,,
285," R$ 1,997.00 ",1/6/2021,,
286," R$ 1,997.00 ",1/6/2021,,
287," R$ 1,997.00 ",1/6/2021,,
59," R$ 1,997.00 ",1/6/2021,,
288, R$ 250.00 ,1/6/2021,,
289, R$ 250.00 ,1/6/2021,,
290, R$ 250.00 ,1/6/2021,,
291, R$ 250.00 ,1/6/2021,,
57," R$ 1,997.00 ",1/6/2021,,
56," R$ 1,997.00 ",1/6/2021,,
174," R$ 1,997.00 ",1/6/2021,,
55," R$ 1,997.00 ",1/6/2021,,
54," R$ 1,997.00 ",1/6/2021,,
53," R$ 1,997.00 ",1/6/2021,,
129," R$ 1,997.00 ",1/6/2021,,
58," R$ 1,997.00 ",1/6/2021,,
65," R$ 1,997.00 ",2/6/2021,,
52," R$ 1,997.00 ",2/6/2021,,
51, R$ 250.00 ,2/6/2021,,
50, R$ 250.00 ,2/6/2021,,
49, R$ 250.00 ,2/6/2021,,
64," R$ 1,997.00 ",2/6/2021,,
66," R$ 1,997.00 ",2/6/2021,,
71," R$ 1,997.00 ",2/6/2021,,
68," R$ 1,997.00 ",2/6/2021,,
84," R$ 1,997.00 ",2/6/2021,,
83," R$ 1,997.00 ",2/6/2021,,
82," R$ 1,997.00 ",2/6/2021,,
81," R$ 1,997.00 ",2/6/2021,,
80," R$ 1,997.00 ",2/6/2021,,
79," R$ 1,997.00 ",2/6/2021,,
78," R$ 1,997.00 ",2/6/2021,,
76," R$ 1,997.00 ",2/6/2021,,
75," R$ 1,997.00 ",2/6/2021,,
74," R$ 1,997.00 ",2/6/2021,,
73," R$ 1,997.00 ",2/6/2021,,
72," R$ 1,997.00 ",2/6/2021,,
48, R$ 250.00 ,2/6/2021,,
70," R$ 1,997.00 ",2/6/2021,,
69," R$ 1,997.00 ",2/6/2021,,
67," R$ 1,997.00 ",2/6/2021,,
47, R$ 250.00 ,2/6/2021,,
77," R$ 1,997.00 ",2/6/2021,,
45," R$ 1,997.00 ",2/6/2021,,
44," R$ 1,997.00 ",2/6/2021,,
43," R$ 1,997.00 ",2/6/2021,,
42," R$ 1,997.00 ",2/6/2021,,
41," R$ 1,997.00 ",2/6/2021,,
17," R$ 1,997.00 ",2/6/2021,,
46, R$ 250.00 ,2/6/2021,,
30," R$ 1,997.00 ",2/6/2021," R$ 94,362.00 ",
238," R$ 1,997.00 ",25/05/2021,,
237, R$ 250.00 ,25/05/2021,,
236, R$ 250.00 ,25/05/2021,,
235, R$ 250.00 ,25/05/2021,,
234, R$ 250.00 ,25/05/2021,,
233, R$ 250.00 ,25/05/2021,,
232, R$ 250.00 ,25/05/2021,,
231," R$ 1,997.00 ",25/05/2021,,
228," R$ 1,997.00 ",25/05/2021,,
229," R$ 1,997.00 ",25/05/2021,,
240," R$ 1,997.00 ",25/05/2021,,
227," R$ 1,997.00 ",25/05/2021,,
225," R$ 1,997.00 ",25/05/2021,,
224," R$ 1,997.00 ",25/05/2021,,
223," R$ 1,997.00 ",25/05/2021,,
222," R$ 1,997.00 ",25/05/2021,,
221," R$ 1,997.00 ",25/05/2021,,
220," R$ 1,997.00 ",25/05/2021,,
230," R$ 1,997.00 ",25/05/2021,,
241," R$ 1,997.00 ",25/05/2021,,
226," R$ 1,997.00 ",25/05/2021,,
0, R$ 250.00 ,25/05/2021,,
250," R$ 1,997.00 ",25/05/2021,,
254," R$ 1,997.00 ",26/05/2021,,
243," R$ 1,997.00 ",26/05/2021,,
253," R$ 1,997.00 ",26/05/2021,,
252," R$ 1,997.00 ",26/05/2021,,
251," R$ 1,997.00 ",26/05/2021,,
255," R$ 1,997.00 ",26/05/2021,,
248," R$ 1,997.00 ",26/05/2021,,
246," R$ 1,997.00 ",26/05/2021,,
245," R$ 1,997.00 ",26/05/2021,,
244," R$ 1,997.00 ",26/05/2021,,
219," R$ 1,997.00 ",26/05/2021,,
218," R$ 1,997.00 ",26/05/2021,,
195," R$ 1,997.00 ",26/05/2021,,
247," R$ 1,997.00 ",26/05/2021,,
256, R$ 250.00 ,26/05/2021,,
249," R$ 1,997.00 ",26/05/2021,,
258, R$ 250.00 ,26/05/2021,,
257, R$ 250.00 ,26/05/2021,,
239," R$ 1,997.00 ",26/05/2021,,
242," R$ 1,997.00 ",26/05/2021,,
260," R$ 1,997.00 ",26/05/2021,,
259, R$ 250.00 ,26/05/2021,,
196," R$ 1,997.00 ",27/05/2021,,
176," R$ 1,997.00 ",27/05/2021,,
194," R$ 1,997.00 ",27/05/2021,,
206," R$ 1,997.00 ",27/05/2021,,
193, R$ 250.00 ,27/05/2021,,
192, R$ 250.00 ,27/05/2021,,
191, R$ 250.00 ,27/05/2021,,
190, R$ 250.00 ,27/05/2021,,
189, R$ 250.00 ,27/05/2021,,
188," R$ 1,997.00 ",27/05/2021,,
197," R$ 1,997.00 ",27/05/2021,,
213," R$ 1,997.00 ",27/05/2021,,
187," R$ 1,997.00 ",27/05/2021,,
215," R$ 1,997.00 ",27/05/2021,,
186," R$ 1,997.00 ",27/05/2021,,
177," R$ 1,997.00 ",27/05/2021,,
178," R$ 1,997.00 ",27/05/2021,,
179," R$ 1,997.00 ",27/05/2021,,
180," R$ 1,997.00 ",27/05/2021,,
181," R$ 1,997.00 ",27/05/2021,,
182," R$ 1,997.00 ",27/05/2021,,
183," R$ 1,997.00 ",27/05/2021,,
184," R$ 1,997.00 ",27/05/2021,,
185," R$ 1,997.00 ",27/05/2021,,
214," R$ 1,997.00 ",27/05/2021,,
348," R$ 2,064.90 ",27/05/2021,,
198," R$ 1,997.00 ",28/05/2021,,
318," R$ 1,997.00 ",28/05/2021,,
200," R$ 1,997.00 ",28/05/2021,,
319," R$ 1,997.00 ",28/05/2021,,
320," R$ 1,997.00 ",28/05/2021,,
321," R$ 1,997.00 ",28/05/2021,,
322," R$ 1,997.00 ",28/05/2021,,
323," R$ 1,997.00 ",28/05/2021,,
324," R$ 1,997.00 ",28/05/2021,,
325," R$ 1,997.00 ",28/05/2021,,
316," R$ 1,997.00 ",28/05/2021,,
304," R$ 1,997.00 ",28/05/2021,,
263," R$ 1,997.00 ",28/05/2021,,
217," R$ 1,997.00 ",28/05/2021,,
216, R$ 250.00 ,28/05/2021,,
317," R$ 1,997.00 ",28/05/2021,,
211, R$ 250.00 ,28/05/2021,,
210, R$ 250.00 ,28/05/2021,,
209, R$ 250.00 ,28/05/2021,,
208, R$ 250.00 ,28/05/2021,,
207, R$ 250.00 ,28/05/2021,,
205," R$ 1,997.00 ",28/05/2021,,
204," R$ 1,997.00 ",28/05/2021,,
203," R$ 1,997.00 ",28/05/2021,,
202," R$ 1,997.00 ",28/05/2021,,
201," R$ 1,997.00 ",28/05/2021,,
199," R$ 1,997.00 ",28/05/2021,,
212, R$ 250.00 ,28/05/2021,,
175," R$ 1,997.00 ",28/05/2021,,
311, R$ 250.00 ,29/05/2021,,
338," R$ 1,997.00 ",29/05/2021,,
337," R$ 1,997.00 ",29/05/2021,,
336," R$ 1,997.00 ",29/05/2021,,
335," R$ 1,997.00 ",29/05/2021,,
334," R$ 1,997.00 ",29/05/2021,,
333," R$ 1,997.00 ",29/05/2021,,
332," R$ 1,997.00 ",29/05/2021,,
331," R$ 1,997.00 ",29/05/2021,,
330," R$ 1,997.00 ",29/05/2021,,
307, R$ 250.00 ,29/05/2021,,
328," R$ 1,997.00 ",29/05/2021,,
327," R$ 1,997.00 ",29/05/2021,,
308, R$ 250.00 ,29/05/2021,,
315," R$ 1,997.00 ",29/05/2021,,
314, R$ 250.00 ,29/05/2021,,
313, R$ 250.00 ,29/05/2021,,
312, R$ 250.00 ,29/05/2021,,
309, R$ 250.00 ,29/05/2021,,
339," R$ 1,997.00 ",29/05/2021,,
310, R$ 250.00 ,29/05/2021,,
349," R$ 2,064.90 ",29/05/2021,,
341," R$ 1,997.00 ",29/05/2021,,
346," R$ 2,064.90 ",29/05/2021,,
340," R$ 1,997.00 ",29/05/2021,,
342," R$ 1,997.00 ",29/05/2021,,
343," R$ 1,997.00 ",29/05/2021,,
344," R$ 1,997.00 ",29/05/2021," R$ 201,662.69 ",
18," R$ 1,997.00 ",3/6/2021,,
16, R$ 250.00 ,3/6/2021,,
15, R$ 250.00 ,3/6/2021,,
2," R$ 1,997.00 ",3/6/2021,,
3," R$ 1,997.00 ",3/6/2021,,
4," R$ 1,997.00 ",3/6/2021,,
5, R$ 250.00 ,3/6/2021,,
6, R$ 250.00 ,3/6/2021,,
7, R$ 250.00 ,3/6/2021,,
8, R$ 250.00 ,3/6/2021,,
9, R$ 250.00 ,3/6/2021,,
10, R$ 250.00 ,3/6/2021,,
11, R$ 250.00 ,3/6/2021,,
14, R$ 250.00 ,3/6/2021,,
13, R$ 250.00 ,3/6/2021,,
1," R$ 1,997.00 ",3/6/2021,,
19," R$ 1,997.00 ",3/6/2021,,
20," R$ 1,997.00 ",3/6/2021,,
36," R$ 1,997.00 ",3/6/2021,,
12, R$ 250.00 ,3/6/2021,,
39," R$ 1,997.00 ",3/6/2021,,
38," R$ 1,997.00 ",3/6/2021,,
37," R$ 1,997.00 ",3/6/2021,,
35," R$ 1,997.00 ",3/6/2021,,
21," R$ 1,997.00 ",3/6/2021," R$ 96,359.00 ",
279," R$ 1,997.00 ",30/05/2021,,
275," R$ 1,997.00 ",30/05/2021,,
274," R$ 1,997.00 ",30/05/2021,,
